Correlation: 0.13353297631000666, P-value: 0.0031523645579715257

MAE: 0.08429215021229156, MSE: 0.01133288816531259

                                                                                            name  value_for_money
                                                       Holiday Inn Shanghai Pudong, An Ihg Hotel         0.100000
                                                                            Seventh Heaven Hotel         0.121212
            Jinling Purple Mountain Hotel Shanghai（Shanghai Grand Trustel Purple Mountain Hotel）         0.101266
                                                     Holiday Inn Shanghai Hongqiao, An Ihg Hotel         0.078846
                                                                Evergreen Laurel Hotel, Shanghai         0.039269
                                                          Bellagio By Mgm Shanghai - On The Bund         0.024852
                                                                          Pullman Shanghai South         0.084536
                                                                            Jinqiao Yachts Hotel         0.104110
                                                               Ssaw Boutique Hotel Shanghai Bund         0.096552
                                                           Hyatt Centric Zhongshan Park Shanghai         0.052830
                               Royal International Hotel Shanghai - Pudong International Airport         0.102500
                                                        Four Points By Sheraton Shanghai, Pudong         0.138983
                                                            Parkline Century Park Hotel Shanghai         0.050000
          Intercontinental Shanghai Ruijin, An Ihg Hotel - Downtown Historic Iconic Garden Hotel         0.057534
                                                      Crowne Plaza Shanghai Pudong, An Ihg Hotel         0.085417
                                                                           W Shanghai - The Bund         0.028669
                                                                              Anting Villa Hotel         0.082353
                                                                    Jing An Shangri-La, Shanghai         0.038498
                                           The Hongta Hotel, A Luxury Collection Hotel, Shanghai         0.076786
                                                                            Holiday Inn Downtown         0.111111
                                                                     Okura Garden Hotel Shanghai         0.064062
                                                                                Dorsett Shanghai         0.113514
                                                            Shanghai Hengshan Moller Villa Hotel         0.079208
                                                                Shanghai Marriott Hotel Parkview         0.067717
                                                                  Regal Shanghai East Asia Hotel         0.128814
                                                    Wyndham Grand Plaza Royale Oriental Shanghai         0.015905
                                               Holiday Inn Express Zhabei Shanghai, An Ihg Hotel         0.264516
                                                 Holiday Inn Shanghai Nanjing Road, An Ihg Hotel         0.081905
                                                                          Urbn Boutique Shanghai         0.078505
                                                                          Central Hotel Shanghai         0.087500
                                                                              The Kunlun Jing An         0.084000
                                                                            Merry Hotel Shanghai         0.115942
                                                                                     W Barcelona         0.025000
                                                               Majestic Hotel & Spa Barcelona Gl         0.041791
                                                                            Hotel Arts Barcelona         0.155556
                                                                                Hilton Barcelona         0.038498
                                                        Grand Hotel Central, Small Luxury Hotels         0.019725
                                                                           Colon Hotel Barcelona         0.024855
                                                                                      Hotel 1898         0.030175
                                                                     Renaissance Barcelona Hotel         0.023907
                                                                       Hotel El Palace Barcelona         0.014726
                                                                           Le Meridien Barcelona         0.018636
                                                                                   Barcelo Sants         0.046237
                                        Claris Hotel & Spa Gl, A Small Luxury Hotel Of The World         0.023864
                                                                             Condes De Barcelona         0.027451
                                                                               Seventy Barcelona         0.022281
                                                                                  Ohla Barcelona         0.020673
                                                        Intercontinental Barcelona, An Ihg Hotel         0.071667
                                                                            Nobu Hotel Barcelona         0.020192
                                                                  Hotel Neri - Relais & Chateaux         0.031298
                                                                               Almanac Barcelona         0.020000
                                       Hotel Sofia Barcelona, In The Unbound Collection By Hyatt         0.033466
                                                                    Mandarin Oriental, Barcelona         0.007970
                                                                                      Hotel Jazz         0.034818
                                                                                  Monument Hotel         0.004913
                                                                              Barcelona Princess         0.047253
                                                                                   Barcelo Raval         0.039070
                                                                                   Hotel Granvia         0.082692
                                                                 Hotel Casa Fuster G.L Monumento         0.014973
                                                                   Hilton Diagonal Mar Barcelona         0.040196
                                                                          Melia Barcelona Sarria         0.033871
                                                                         Sercotel Hotel Rosellon         0.037069
                                                                      Melia Barcelona Sky 4* Sup         0.034599
                                                                                Serras Barcelona         0.014617
                                                                                H10 Cubik 4* Sup         0.336000
                                                                            The One Barcelona Gl         0.024260
                                                                                    Me Barcelona         0.012463
                                                                                     Gaudi Hotel         0.065152
                                                                          Mercer Hotel Barcelona         0.018182
                                                                        Barcelona Hotel Colonial         0.033600
                                                                       Catalonia Barcelona Plaza         0.044103
                                                                        Hotel Pulitzer Barcelona         0.016196
                                                                                Hotel Casa Bonay         0.025868
                                                                     Boutique Hotel H10 Montcada         0.068293
                                                                            Hotel Espana Ramblas         0.079630
                                     Duquesa De Cardona Hotel 4 Sup By Duquessa Hotel Collection         0.013030
                                                                                The Corner Hotel         0.040580
                                                                    Petit Palace Boqueria Garden         0.021159
                                                            Ac Hotel Barcelona Forum By Marriott         0.010966
                                                                          Novotel Barcelona City         0.037168
                                                                       Hotel Barcelona Universal         0.045652
                                                        Cotton House Hotel, Autograph Collection         0.017872
                                                                             Gallery Hotel 4 Sup         0.029655
                                                                               El Avenida Palace         0.025688
                                                                         H10 Metropolitan 4* Sup         0.051534
                                                            Kimpton Vividora Hotel, An Ihg Hotel         0.076106
                                                              Axel Hotel Barcelona - Adults Only         0.044211
                                                                Innside By Melia Barcelona Apolo         0.020639
                                                                      Hotel Miramar Barcelona Gl         0.031698
                                                                     Hotel Continental Barcelona         0.077064
                                                             Occidental Atenea Mar - Adults Only         0.045902
                                                                         Occidental Diagonal 414         0.023864
                                                                        Hotel Barcelona Catedral         0.059722
                                                               Nh Collection Barcelona Constanza         0.042786
                                                 Hotel Bagues, A Small Luxury Hotel Of The World         0.042487
                                     Hotel Indigo Barcelona - Plaza Catalunya 4Sup, An Ihg Hotel         0.053165
                                                                            H10 Marina Barcelona         0.039437
                                                                          Hotel Barcelona Center         0.035745
                                                                     Aparthotel Arai 4* Superior         0.067742
                                                                                   Royal Ramblas         0.032090
                                                                                    Hotel Rialto         0.041584
                                                                           Casa Camper Barcelona         0.026708
                                                                 Eurostars Grand Marina Hotel Gl         0.038914
                                              Radisson Blu 1882 Hotel, Barcelona Sagrada Familia         0.022951
                                                                              Catalonia Catedral         0.060563
                                                                            Catalonia Magdalenes         0.056757
                                                                       Occidental Barcelona 1929         0.032800
                                                                          Hotel Regina Barcelona         0.038565
                                                                                    Hotel Nouvel         0.027541
                                                                                 H10 Universitat         0.082353
                                                                                  Sixtytwo Hotel         0.068254
                                                                             Silken Sant Gervasi         0.175000
                                                                              Olivia Plaza Hotel         0.039091
                                                                            H10 Urquinaona Plaza         0.051534
                                                        Gran Hotel Havana 4Sup By Escampa Hotels         0.093333
                                                                            Expo Hotel Barcelona         0.048315
                                           Alexandra Barcelona Hotel, Curio Collection By Hilton         0.152727
                                                      Four Points By Sheraton Barcelona Diagonal         0.117808
                                                                                   Ohla Eixample         0.035593
                                                                          H10 Art Gallery 4* Sup         0.080000
                                                                                 H10 Raco Del Pi         0.092473
                                                     Sir Victor Hotel, Part Of Sircle Collection         0.018625
                                                                                   Andante Hotel         0.047253
                                                                                   Hcc Montblanc         0.104878
                                                                          H10 Casa Mimosa 4* Sup         0.064615
                                                                            H10 Port Vell 4* Sup         0.027097
                                                                               Allegro Barcelona         0.038565
                                                                             Olivia Balmes Hotel         0.023768
                                                              Boutique Hotel H10 Catalunya Plaza         0.025301
                                                                                  Oriente Atiram         0.045055
                                                                  Nh Collection Barcelona Podium         0.012500
                                                                               Ilunion Barcelona         0.046995
                                                                                    Okada Manila         0.046328
                                                                                The Manila Hotel         0.059420
                                                                              Lime Resort Manila         0.114286
                                                                            Belmont Hotel Manila         0.110811
                                                                                 Fairmont Makati         0.058156
                                                                               Hotel101 - Manila         0.178261
                                                                 Sofitel Philippine Plaza Manila         0.057746
                                                                              Grand Hyatt Manila         0.030370
                                                                              Dusit Thani Manila         0.089130
                                                                           Sheraton Manila Hotel         0.045902
                                                                       Diamond Hotel Philippines         0.082000
                                                                             Kabayan Hotel Pasay         0.195238
                                                                            The Peninsula Manila         0.045652
                                                                                   Hilton Manila         0.049697
                                                               Solaire Resort Entertainment City         0.041026
                                                                          Kingsford Hotel Manila         0.113889
                                                                             Sheraton Manila Bay         0.058993
                                                                          New Coast Hotel Manila         0.078095
                                                                         City Garden Grand Hotel         0.073214
                                                                             The Bellevue Manila         0.105128
                                                                       Bayview Park Hotel Manila         0.170213
                                                                                       Hotel H2O         0.112000
                                                                                 Privato Ortigas         0.234286
                                                               The Mini Suites Eton Tower Makati         0.210256
                                                                     Shangri-La The Fort, Manila         0.055782
                                                                               Seda Vertis North         0.072072
                                                           Valero Grand Suites By Swiss-Belhotel         0.138983
                                                        Hotel Okura Manila - Staycation Approved         0.033058
                                                                       Marco Polo Ortigas Manila         0.077670
                                                                                    Luxent Hotel         0.106494
                                           Holiday Inn Express Manila Newport City, An Ihg Hotel         0.120588
                                                                           Red Planet Manila Bay         0.328000
                                                                              Century Park Hotel         0.118182
                                                                              City Garden Suites         0.150943
                                                                             Makati Palace Hotel         0.205000
                                                                            Azumi Boutique Hotel         0.149091
                                                                           St Giles Hotel Makati         0.204878
                                                      Crowne Plaza Manila Galleria, An Ihg Hotel         0.094253
                                                             Tryp By Wyndham Mall Of Asia Manila         0.084848
                                                                              Manila Lotus Hotel         0.234286
                                                                    Red Hotel Cubao, Quezon City         0.205128
                                                       Holiday Inn Manila Galleria, An Ihg Hotel         0.149091
                                                                          Midas Hotel And Casino         0.085417
                                                               Novotel Manila Araneta City Hotel         0.091111
                                                                             Manila Prince Hotel         0.282759
                                                                               Eurotel Pedro Gil         0.288889
                                                                      Seda Bonifacio Global City         0.058993
                                                                      Go Hotels Plus Mandaluyong         0.273333
                                                                           Summit Hotel Magnolia         0.151852
                                                                          Jinjiang Inn - Ortigas         0.241176
                                                                              Savoy Hotel Manila         0.120588
                                                                         Selah Pods Hotel Manila         0.315385
                                                                                   Astoria Plaza         0.117143
                                                                                  Eurotel Makati         0.313043
                                                                         Intercontinental Manila         0.069492
                                                                 Ramada Encore By Wyndham Makati         0.129032
                                                                   Red Planet Manila Aseana City         0.227778
                                                                              Manila Manor Hotel         0.320000
                                                                          The Henry Hotel Manila         0.075472
                                                                           Hotel Lucky Chinatown         0.141818
                                                                Winford Resort And Casino Manila         0.097619
                                                                             The B Hotel Alabang         0.131250
                                                                   Go Hotels Manila Airport Road         0.256250
                                                                                  Raffles Makati         0.036287
                                                                                  Bsa Twin Tower         0.151852
                                                                 Red Planet Manila Malate Mabini         0.258065
                                                      Eastwood Richmonde Hotel - Newly Renovated         0.083168
                                                                Hop Inn Hotel Aseana City Manila         0.227027
                                                                        Go Hotels Ermita, Manila         0.250000
                                                                    Hop Inn Hotel Alabang Manila         0.336000
                                                             Best Western Hotel La Corona Manila         0.344000
                                                                            New York Hotel Miami         0.763636
                                                                                Alicia Apartment         0.282759
                                                                              Myspace Hotel @Bgc         0.242424
                                                                    Greenhills Elan Hotel Modern         0.195455
                                                                              Eurotel North Edsa         0.241176
                                                          Guijo Suites Makati - Quarantine Hotel         0.273333
                                                                        Go Hotels Ortigas Center         0.241176
                                                               Y2 Residence Hotel Managed By Hii         0.181818
                                                                      Crown Regency Hotel Makati         0.145098
                                                                               Astoria Greenbelt         0.114286
